origin,destination,old_distance,distance
ADL,BNE,,1006
ADL,SYD,,725
AGP,LIS,,292
AKL,BNE,1422,
AKL,DUD,662,
AKL,IAH,,7411
AKL,LAX,6511,
AKL,MEL,1635,
AKL,NOU,,1152
AKL,RAR,1869,
AKL,SFO,6523,
AKL,SYD,1341,
AKL,YVR,7052,7049
ALA,FRA,,3158
AMD,DEL,,471
AMM,FRA,,1890
AMS,ARN,715,
AMS,CPH,392,
AMS,EWR,3647,
AMS,IAH,,4995
AMS,LHR,224,
AMS,LIS,1149,
AMS,WAW,682,
AMS,YUL,,3416
AMS,YYZ,3721,3717
AMS,ZRH,,374
ANC,SEA,1445,
ANC,YVR,1328,
ANU,YYZ,2110,
ARN,ATH,,1522
ARN,BRU,800,
ARN,CDG,,956
ARN,CPH,339,341
ARN,DUB,,1008
ARN,EWR,3920,
ARN,FRA,760,
ARN,LHR,908,908
ARN,MUC,,819
ARN,WAW,530,
ARN,YUL,,3642
ARN,YYZ,,3917
ASE,DEN,125,
ASR,IST,,388
ATH,FRA,1128,
ATH,YYZ,,5044
ATL,DEN,,1195
ATL,EWR,,744
ATL,IAD,534,
ATL,YYZ,739,739
ATW,ORD,,160
AUA,EWR,1963,
AUA,IAD,,1880
AUS,DEN,776,
AUS,EWR,1501,
AUS,ORD,978,
AUS,YVR,,1868
AUS,YYZ,1357,1357
BAH,ISL,1613,
BCN,EWR,3838,3833
BCN,MXP,,448
BCN,YUL,3673,3669
BCN,YYZ,,3982
BCN,ZRH,,531
BDA,YYZ,,1123
BER,BRU,,399
BGI,YUL,2389,2386
BGI,YYZ,2429,2425
BHM,IAH,,561
BKK,FRA,5573,
BKK,HKG,1065,1048
BKK,HKT,,420
BKK,HND,,2846
BKK,ICN,2268,2275
BKK,ISL,4646,
BKK,KUL,749,759
BKK,MUC,5449,
BKK,NRT,2882,2884
BKK,SIN,,880
BKK,SYD,4687,4664
BKK,TPE,,1544
BKK,VIE,,5244
BKK,YVR,,7324
BLL,FRA,,394
BLQ,FRA,400,402
BLR,DEL,1079,1061
BLR,FRA,4606,
BNA,DEN,1011,
BNA,IAH,656,
BNA,PHL,674,
BNA,YYZ,641,641
BNE,CHC,1552,
BNE,CNS,,865
BNE,MEL,,857
BNE,SIN,3815,
BNE,SYD,,466
BNE,YVR,7367,7350
BOG,CTG,407,
BOG,EWR,2486,
BOG,GIG,2822,
BOG,IAH,2227,
